num_opportunities,EMP_2016,ERP_2016,,
737,706906.3417,3190.2116,4.91E+02,
738,766954.1648,1617.107872,2.70E+02,
739,688364.7887,1370.251922,2.05E+02,
740,675324.3031,8.47E-05,1.25E-05,
741,758052.6554,547.8206953,9.04E+01,
742,760184.3636,674.2957592,1.12E+02,
743,505841.2257,2434.365741,2.68E+02,
744,742707.6279,2380.355295,3.85E+02,
745,529637.2396,9.51E-05,1.10E-05,
800,18880.83454,9.51E-05,3.91E-07,
801,506488.4157,3394.242151,3.74E+02,
802,557138.2881,1634.759764,1.98E+02,
803,548387.4357,1958.458237,2.34E+02,
804,663782.9312,2723.775443,3.94E+02,
805,488229.261,2056.491282,2.19E+02,
806,564537.6671,1602.786478,1.97E+02,
807,762026.5991,2018.587296,3.35E+02,
808,696350.0339,1239.899161,1.88E+02,
812,543548.9834,2651.620896,3.14E+02,
813,534861.1857,2697.268428,3.14E+02,
814,491428.4183,2693.313308,2.88E+02,
815,464595.0009,1818.947867,1.84E+02,
816,542196.2196,2767.547284,3.27E+02,
817,560852.5749,1464.130404,1.79E+02,
818,489725.3546,3479.633283,3.71E+02,
819,522863.5969,2714.081875,3.09E+02,
820,560586.4512,3714.730452,4.53E+02,
821,565422.4848,3586.726203,4.42E+02,
824,711584.3231,2467.644045,3.82E+02,
825,726990.3957,1032.790738,1.63E+02,
826,839954.2075,2165.307318,3.96E+02,
827,771764.3612,458.6981098,7.71E+01,
828,946018.5399,0.000103572,2.13E-05,
829,395610.9608,273.359825,2.35E+01,
830,465255.1514,0.000103572,1.05E-05,
831,781191.2793,3011.468957,5.12E+02,
832,645232.3255,13.37140097,1.88E+00,
833,571484.6019,2952.498518,3.67E+02,
834,568798.6764,2294.860574,2.84E+02,
835,552964.4981,0.000103572,1.25E-05,
836,979112.559,0.000103572,2.21E-05,
837,748248.5443,0.000103572,1.69E-05,
894,705302.0313,709.7370257,1.09E+02,
895,857636.6571,1375.137474,2.57E+02,
896,952114.3194,821.0942867,1.70E+02,
897,300402.0147,2249.700801,1.47E+02,
898,591808.1895,2072.697091,2.67E+02,
899,174504.9015,2007.732993,7.63E+01,
900,390847.6828,3426.868306,2.92E+02,
901,444396.933,3867.484846,3.74E+02,
902,413901.3082,4432.223998,3.99E+02,
903,529953.415,1940.63233,2.24E+02,
904,802869.4816,1077.638069,1.88E+02,
905,166631.2083,3202.235833,1.16E+02,
906,200650.4708,3502.39646,1.53E+02,
907,131280.0207,2073.823067,5.93E+01,
910,781465.2439,1464.865842,2.49E+02,
911,560803.6623,1984.549784,2.42E+02,
912,447675.0527,1535.249618,1.50E+02,
913,907269.33,1357.359678,2.68E+02,
914,514215.8523,1644.215383,1.84E+02,
915,808533.8844,1772.596615,3.12E+02,
916,453141.8433,2000.775477,1.97E+02,
917,767406.1855,2571.714882,4.30E+02,
918,609807.6371,603.2709014,8.01E+01,
919,409162.0072,1401.77238,1.25E+02,
920,499685.6842,1894.780677,2.06E+02,
921,711641.1541,1658.818525,2.57E+02,
922,479364.7243,1442.92534,1.51E+02,
924,477987.0439,891.8814497,9.28E+01,
925,86046.12811,3364.552475,6.30E+01,
926,112625.564,0.000109993,2.70E-06,
927,396106.8466,1187.300873,1.02E+02,
928,332586.4434,1268.831299,9.19E+01,
931,171970.9933,2445.307034,9.16E+01,
932,115037.8484,2963.793559,7.42E+01,
