num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area
148,83546.30351,-4.42E-06,477526.9026,26287.10131,849571.4291,51921.70906,148,YES,Fort Denison,4123.15218
149,528047.9274,13821.70455,949631.4523,29704.2289,1389819.671,11341.7601,149,YES,Sydney CBD_Jenkins St,17113.30218
150,521584.0769,14643.44552,922666.4151,13673.85111,1347281.102,10219.56864,150,YES,Sydney CBD_King St Wharf_Southern End,12229.09607
151,432159.6406,66122.76688,801522.9676,97935.9585,1262048.704,52687.3884,151,YES,Pyrmont_Darling Island,112076.02
152,407131.117,43962.21401,731423.6395,59320.36219,1185115.684,65797.32638,152,YES,John St Square MLR,190243.6129
153,478992.022,51991.35486,891439.9584,60717.40006,1314338.637,38719.64623,153,YES,Fish Markets MLR,170909.7133
154,577520.0185,71237.23992,1000663.858,96886.49326,1434643.585,47324.30599,154,YES,Hardwood St,35693.56715
155,507464.4423,53736.18097,905013.2495,80994.21815,1342365.593,52898.18463,155,YES,Experiment St,26340.36787
156,461071.7162,34410.95327,851750.3766,46199.25039,1281744.27,28729.09746,156,YES,Wentworth Park MLR,128912.9083
157,428680.8886,15218.12932,790912.8273,12536.18112,1200485.161,24224.50041,157,YES,Powerhouse Museum Ultimo,216002.2913
158,402037.0128,3.48E-05,813082.6189,-2.66E-06,1189368.718,4438.452579,158,YES,Broadway Shopping Centre_Glebe_Mountain St and Small St,127790.3181
159,491875.3943,-2.44E-05,844019.1415,-3.67E-05,1236645.587,4254.633449,159,YES,UTS_Ultimo_West,186450.6843
160,552867.9127,1.84E-05,932969.7093,2628.759056,1329881.036,4110.659431,160,YES,ABC Ultimo Centre,24653.01667
161,676738.405,37424.25218,1172954.585,20178.85877,1559221.161,11761.91173,161,YES,Sydney CBD_Perpetual Trustee Building,13745.71999
162,664079.1875,2685.897317,1125072.894,6778.117775,1518312.091,4386.440984,162,YES,Sydney CBD_Myer Building,10138.71448
163,102828.5062,4625.496676,572403.4644,38694.29038,956857.344,52457.36401,163,YES,Garden Island,381186.0623
164,245372.5065,83226.35714,637800.9637,111861.0633,1051222.359,117540.2081,164,YES,The Finger Wharf Apartments,52090.21364
165,394722.2434,92600.88642,752523.5449,142029.5911,1184271.48,100708.3672,165,YES,Woolloomooloo_Dowling St and Nesbitt St,151331.1847
166,277078.3322,4.21E-05,675012.2709,16474.37585,1074091.055,26740.45671,166,YES,St Vincents Catholic College,86089.02352
167,185414.2069,-3.85E-05,611072.9293,18127.64179,1010780.121,33881.6518,167,YES,Elizabeth Bay House,170159.0173
168,548999.2747,48491.53213,926535.1315,97616.20331,1321189.67,84099.95785,168,YES,Cook and Phillip Park,91441.36857
169,477002.7311,49741.96902,850222.6832,105683.1835,1243095.91,76663.96927,169,YES,East Sydney High School,84997.09303
170,489271.7854,17024.37538,865039.95,38506.75007,1252649.847,35003.25896,170,YES,Kings Cross Station,102648.539
171,532755.7931,10578.26934,914735.3845,25242.63245,1307230.715,13745.73222,171,YES,Kingsgate Shopping Centre,99450.84371
172,450180.6451,1230.137107,796820.1532,13492.48689,1218190.401,11468.88842,172,YES,El Alamein Fountain,32089.49261
173,320642.5594,1.13E-05,693439.7548,12973.46357,1105440.715,21569.28157,173,YES,St Luke's Hospital,205467.0947
174,648546.1624,15794.5023,1120177.749,13288.98867,1525823.693,5181.760934,174,YES,Sydney CBD_Sky Garden,8448.473521
175,481084.4472,54459.5156,837568.9292,117833.7902,1231243.819,89574.55322,175,YES,National Art School,54079.37649
176,586009.4383,11003.7212,969485.7691,53022.09181,1359123.677,35229.49885,176,YES,Australian Museum Darlinghurst,44556.35581
177,614430.5337,14890.97196,957222.2668,47685.10256,1354775.619,39165.68355,177,YES,Darlinghurst_College La and Francis St,7837.562081
178,543579.9625,44340.44825,917518.4873,75192.27723,1290791.063,74027.12454,178,YES,SCEGGS_Darlinghurst,150101.8937
179,494666.2238,13960.74234,861392.5608,36991.2504,1253545.373,34815.73957,179,YES,Darlinghurst Rd and William St,103746.9977
180,388003.5332,16555.07888,750599.9176,15108.27251,1150846.422,47550.93896,180,YES,Belvedere Bridge Darlinghurst,195724.3838
181,554074.3813,28912.45791,931861.7798,61972.61194,1339014.67,47474.87136,181,YES,Marriott Hotel,8356.217782
182,520149.024,130356.2762,885604.8568,179564.9166,1250715.973,185796.4123,182,YES,St Vincent's Caritas Centre,96565.14795
183,419907.2677,74515.73041,810270.2464,82064.2698,1214547.095,69187.99927,183,YES,St Vincent's Hospital,109892.8645
